"Gene","NumCells.ms","NumCells.hc","NumDonors.ms","NumDonors.hc","p","or_est","log2or","negLog10p"
"TIMD4",1,5,1,4,0.282051282051282,0.162425424582969,-2.62215061846743,0.549671921868275
"TIMELESS",1,0,1,0,1,Inf,Inf,0
"TIMM10",1,0,1,0,1,Inf,Inf,0
"TIMM10B",2,3,2,3,1,0.576512021188363,-0.794577404221032,4.82163733276644e-17
"TIMM17A",2,1,2,1,1,2.21433421093488,1.1468729854753,0
"TIMM17B",3,4,3,3,1,1,0,4.82163733276644e-17
"TIMM21",1,0,1,0,1,Inf,Inf,0
"TIMM22",2,1,2,1,1,2.21433421093488,1.1468729854753,0
"TIMM23",5,0,5,0,0.0256410256410256,Inf,Inf,1.5910646070265
"TIMM23B",8,9,4,5,1,0.619687542666112,-0.690387128214864,0
"TIMM29",2,2,2,2,1,1,0,4.82163733276644e-17
"TIMM44",1,1,1,1,1,1,0,0
"TIMM50",4,3,3,3,1,1,0,4.82163733276644e-17
"TIMM9",1,2,1,2,1,0.451603012346455,-1.1468729854753,0
"TIMMDC1",3,2,3,1,0.569230769230769,3.83896762023271,1.94071839182677,0.244711632575861
"TIMP1",3,4,3,4,1,0.619687542666112,-0.690387128214864,0
"TINF2",13,25,7,8,1,0,-Inf,0
"TIPARP",3,2,2,1,1,2.21433421093488,1.1468729854753,0
"TIPRL",7,2,3,2,1,1.73456920800836,0.794577404221032,4.82163733276644e-17
"TJAP1",3,3,1,3,0.569230769230769,0.260463552878358,-1.94084658710691,0.244711632575861
"TJP2",1,1,1,1,1,1,0,0
"TJP3",6,5,5,3,0.619269619269619,2.59867331003631,1.37777527805224,0.208120225508274
"TK2",1,0,1,0,1,Inf,Inf,0
"TKFC",1,5,1,4,0.282051282051282,0.162425424582969,-2.62215061846743,0.549671921868275
"TKT",28,21,6,8,0.466666666666667,0,-Inf,0.330993219041424
"TKTL1",1,0,1,0,1,Inf,Inf,0
"TLDC1",1,0,1,0,1,Inf,Inf,0
"TLDC2",1,0,1,0,1,Inf,Inf,0
"TLE3",1,1,1,1,1,1,0,0
"TLE5",8,22,6,7,1,0.451603012346455,-1.1468729854753,0
"TLK1",6,8,5,6,1,0.576512021188363,-0.794577404221032,4.82163733276644e-17
"TLN1",9,22,6,8,0.466666666666667,0,-Inf,0.330993219041424
"TLR1",3,0,3,0,0.2,Inf,Inf,0.698970004336019
"TLR10",2,0,1,0,1,Inf,Inf,0
"TLR2",1,1,1,1,1,1,0,0
"TLR5",1,3,1,2,1,0.451603012346455,-1.1468729854753,0
"TM2D1",1,4,1,4,0.282051282051282,0.162425424582969,-2.62215061846743,0.549671921868275
"TM2D2",1,2,1,2,1,0.451603012346455,-1.1468729854753,0
"TM7SF2",2,0,2,0,0.466666666666667,Inf,Inf,0.330993219041424
"TM7SF3",1,6,1,4,0.282051282051282,0.162425424582969,-2.62215061846743,0.549671921868275
"TM9SF1",3,2,3,2,1,1.73456920800836,0.794577404221032,4.82163733276644e-17
"TM9SF2",15,17,7,7,1,1,0,0
"TM9SF3",2,2,2,2,1,1,0,4.82163733276644e-17
"TM9SF4",2,4,2,3,1,0.576512021188363,-0.794577404221032,4.82163733276644e-17
"TMA7",3,1,3,1,0.569230769230769,3.83896762023271,1.94071839182677,0.244711632575861
"TMBIM1",3,0,3,0,0.2,Inf,Inf,0.698970004336019
"TMBIM4",10,11,6,6,1,1,0,4.82163733276644e-17
"TMBIM6",27,38,6,8,0.466666666666667,0,-Inf,0.330993219041424
"TMC4",1,0,1,0,1,Inf,Inf,0
"TMC6",27,48,7,8,1,0,-Inf,0
"TMC8",26,43,7,7,1,1,0,0
"TMCC1",1,2,1,2,1,0.451603012346455,-1.1468729854753,0
"TMCO1",1,2,1,1,1,1,0,0
"TMCO3",1,1,1,1,1,1,0,0
"TMCO4",4,1,3,1,0.569230769230769,3.83896762023271,1.94071839182677,0.244711632575861
"TMCO6",3,4,2,3,1,0.576512021188363,-0.794577404221032,4.82163733276644e-17
"TMED1",3,2,3,2,1,1.73456920800836,0.794577404221032,4.82163733276644e-17
"TMED10",6,6,4,5,1,0.619687542666112,-0.690387128214864,0
"TMED2",3,3,2,3,1,0.576512021188363,-0.794577404221032,4.82163733276644e-17
"TMED3",1,3,1,2,1,0.451603012346455,-1.1468729854753,0
"TMED4",3,7,2,5,0.314685314685315,0.223529510495624,-2.16146278546891,0.502123523689718
"TMED5",3,7,2,5,0.314685314685315,0.223529510495624,-2.16146278546891,0.502123523689718
"TMED8",1,0,1,0,1,Inf,Inf,0
"TMED9",7,9,5,6,1,0.576512021188363,-0.794577404221032,4.82163733276644e-17
"TMEM101",1,1,1,1,1,1,0,0
"TMEM102",1,1,1,1,1,1,0,0
"TMEM104",1,5,1,3,0.569230769230769,0.260463552878358,-1.94084658710691,0.244711632575861
"TMEM106B",1,3,1,3,0.569230769230769,0.260463552878358,-1.94084658710691,0.244711632575861
