"Gene","NumCells.ms","NumCells.hc","NumDonors.ms","NumDonors.hc","p","or_est","log2or","negLog10p"
"AP4B1",1,2,1,2,1,0.451603012346455,-1.1468729854753,0
"AP4M1",1,0,1,0,1,Inf,Inf,0
"AP5M1",8,1,5,1,0.118881118881119,9.7606307643197,3.28697438253732,0.924887116086787
"AP5Z1",2,3,2,3,1,0.576512021188363,-0.794577404221032,4.82163733276644e-17
"APBA2",1,1,1,1,1,1,0,0
"APBB1",6,2,4,2,0.608391608391609,2.79345993246486,1.48205312738025,0.215816784846443
"APBB1IP",4,3,3,2,1,1.73456920800836,0.794577404221032,4.82163733276644e-17
"APBB3",2,0,2,0,0.466666666666667,Inf,Inf,0.330993219041424
"APC",1,2,1,2,1,0.451603012346455,-1.1468729854753,0
"APEH",1,8,1,4,0.282051282051282,0.162425424582969,-2.62215061846743,0.549671921868275
"APEX2",1,0,1,0,1,Inf,Inf,0
"APH1A",1,1,1,1,1,1,0,0
"API5",2,2,2,2,1,1,0,4.82163733276644e-17
"APLP2",3,0,3,0,0.2,Inf,Inf,0.698970004336019
"APMAP",4,0,3,0,0.2,Inf,Inf,0.698970004336019
"APOBEC3C",3,1,3,1,0.569230769230769,3.83896762023271,1.94071839182677,0.244711632575861
"APOBEC3F",1,0,1,0,1,Inf,Inf,0
"APOBEC3G",3,1,3,1,0.569230769230769,3.83896762023271,1.94071839182677,0.244711632575861
"APOBR",1,0,1,0,1,Inf,Inf,0
"APOL3",1,0,1,0,1,Inf,Inf,0
"APOL6",1,1,1,1,1,1,0,0
"APPBP2",1,3,1,2,1,0.451603012346455,-1.1468729854753,0
"APRT",3,0,3,0,0.2,Inf,Inf,0.698970004336019
"APTX",1,0,1,0,1,Inf,Inf,0
"AQP3",5,3,3,3,1,1,0,4.82163733276644e-17
"AQR",1,1,1,1,1,1,0,0
"ARAP1",3,3,2,2,1,1,0,4.82163733276644e-17
"ARAP2",1,4,1,2,1,0.451603012346455,-1.1468729854753,0
"ARCN1",11,15,6,5,1,1.73456920800836,0.794577404221031,4.82163733276644e-17
"AREL1",1,0,1,0,1,Inf,Inf,0
"ARF1",2,13,2,7,0.0405594405594406,0.0617305948438619,-4.01787049635397,1.39190804390212
"ARF4",1,1,1,1,1,1,0,0
"ARF5",2,0,2,0,0.466666666666667,Inf,Inf,0.330993219041424
"ARFGAP2",6,3,3,3,1,1,0,4.82163733276644e-17
"ARFGAP3",3,6,2,3,1,0.576512021188363,-0.794577404221032,4.82163733276644e-17
"ARFGEF1",3,6,3,4,1,0.619687542666112,-0.690387128214864,0
"ARFIP2",1,2,1,2,1,0.451603012346455,-1.1468729854753,0
"ARGLU1",1,1,1,1,1,1,0,0
"ARHGAP1",4,4,3,4,1,0.619687542666112,-0.690387128214864,0
"ARHGAP12",1,3,1,2,1,0.451603012346455,-1.1468729854753,0
"ARHGAP15",1,4,1,2,1,0.451603012346455,-1.1468729854753,0
