"Gene","NumCells.ms","NumCells.hc","NumDonors.ms","NumDonors.hc","p","or_est","log2or","negLog10p"
"AKR1A1",2,3,2,3,1,0.576512021188363,-0.794577404221032,4.82163733276644e-17
"AKR1B1",1,1,1,1,1,1,0,0
"AKR7A2",2,1,2,1,1,2.21433421093488,1.1468729854753,0
"AKT2",1,3,1,3,0.569230769230769,0.260463552878358,-1.94084658710691,0.244711632575861
"AKTIP",1,2,1,2,1,0.451603012346455,-1.1468729854753,0
"ALAD",1,0,1,0,1,Inf,Inf,0
"ALAS1",2,2,1,1,1,1,0,0
"ALCAM",1,1,1,1,1,1,0,0
"ALDH16A1",1,1,1,1,1,1,0,0
"ALDH18A1",1,0,1,0,1,Inf,Inf,0
"ALDH9A1",1,0,1,0,1,Inf,Inf,0
"ALDOA",8,9,6,4,0.608391608391609,2.79345993246486,1.48205312738025,0.215816784846443
"ALDOC",2,0,2,0,0.466666666666667,Inf,Inf,0.330993219041424
"ALG1",1,0,1,0,1,Inf,Inf,0
"ALG11",1,2,1,1,1,1,0,0
"ALG13",1,0,1,0,1,Inf,Inf,0
"ALG14",1,0,1,0,1,Inf,Inf,0
"ALG2",1,0,1,0,1,Inf,Inf,0
"ALG5",1,0,1,0,1,Inf,Inf,0
"ALG6",6,0,5,0,0.0256410256410256,Inf,Inf,1.5910646070265
"ALG8",3,3,3,2,1,1.73456920800836,0.794577404221032,4.82163733276644e-17
"ALG9",1,2,1,1,1,1,0,0
"ALKBH3",2,0,1,0,1,Inf,Inf,0
"ALKBH4",1,0,1,0,1,Inf,Inf,0
"ALKBH6",2,2,2,2,1,1,0,4.82163733276644e-17
"ALMS1",1,3,1,2,1,0.451603012346455,-1.1468729854753,0
"ALOX5",1,0,1,0,1,Inf,Inf,0
"ALOX5AP",2,1,2,1,1,2.21433421093488,1.1468729854753,0
"ALPK2",1,0,1,0,1,Inf,Inf,0
"ALS2",2,2,2,2,1,1,0,4.82163733276644e-17
"AMBRA1",2,1,2,1,1,2.21433421093488,1.1468729854753,0
"AMD1",2,0,2,0,0.466666666666667,Inf,Inf,0.330993219041424
"AMN1",1,0,1,0,1,Inf,Inf,0
"AMOTL2",1,1,1,1,1,1,0,0
"AMY2B",1,0,1,0,1,Inf,Inf,0
"AMZ2",4,0,3,0,0.2,Inf,Inf,0.698970004336019
"ANAPC11",2,1,2,1,1,2.21433421093488,1.1468729854753,0
"ANAPC15",1,1,1,1,1,1,0,0
"ANAPC2",1,1,1,1,1,1,0,0
"ANAPC4",3,0,3,0,0.2,Inf,Inf,0.698970004336019
"ANAPC5",4,4,2,3,1,0.576512021188363,-0.794577404221032,4.82163733276644e-17
"ANAPC7",4,4,4,2,0.608391608391609,2.79345993246486,1.48205312738025,0.215816784846443
"ANGPT2",1,0,1,0,1,Inf,Inf,0
"ANGPTL1",2,0,2,0,0.466666666666667,Inf,Inf,0.330993219041424
"ANGPTL4",1,1,1,1,1,1,0,0
"ANK1",1,0,1,0,1,Inf,Inf,0
"ANK3",1,1,1,1,1,1,0,0
"ANKAR",1,0,1,0,1,Inf,Inf,0
"ANKH",1,0,1,0,1,Inf,Inf,0
"ANKHD1;ANKHD1-EIF4EBP3",4,4,3,4,1,0.619687542666112,-0.690387128214864,0
"ANKIB1",1,3,1,1,1,1,0,0
"ANKMY1",1,0,1,0,1,Inf,Inf,0
"ANKMY2",1,0,1,0,1,Inf,Inf,0
"ANKRD10",9,8,6,4,0.608391608391609,2.79345993246486,1.48205312738025,0.215816784846443
"ANKRD12",13,12,7,6,1,2.21433421093487,1.1468729854753,0
"ANKRD13A",2,1,1,1,1,1,0,0
"ANKRD13C",2,2,2,2,1,1,0,4.82163733276644e-17
"ANKRD13D",2,2,2,1,1,2.21433421093488,1.1468729854753,0
"ANKRD18A",1,0,1,0,1,Inf,Inf,0
"ANKRD26",3,1,2,1,1,2.21433421093488,1.1468729854753,0
"ANKRD27",1,3,1,3,0.569230769230769,0.260463552878358,-1.94084658710691,0.244711632575861
"ANKRD31",1,0,1,0,1,Inf,Inf,0
"ANKRD36",7,5,5,5,1,1,0,4.82163733276644e-17
"ANKRD36B",8,2,5,2,0.314685314685315,4.47368223454136,2.16146278546891,0.502123523689718
"ANKRD36C",5,5,3,3,1,1,0,4.82163733276644e-17
"ANKRD39",1,1,1,1,1,1,0,0
"ANKRD40",1,0,1,0,1,Inf,Inf,0
"ANKRD44",4,3,4,2,0.608391608391609,2.79345993246486,1.48205312738025,0.215816784846443
"ANKRD49",2,1,2,1,1,2.21433421093488,1.1468729854753,0
"ANKRD50",1,0,1,0,1,Inf,Inf,0
"ANKRD52",1,1,1,1,1,1,0,0
"ANKS1A",2,0,2,0,0.466666666666667,Inf,Inf,0.330993219041424
"ANKZF1",2,4,2,3,1,0.576512021188363,-0.794577404221032,4.82163733276644e-17
"ANO2",1,0,1,0,1,Inf,Inf,0
"ANO9",1,3,1,2,1,0.451603012346455,-1.1468729854753,0
"ANP32A",1,2,1,2,1,0.451603012346455,-1.1468729854753,0
"ANP32E",2,0,2,0,0.466666666666667,Inf,Inf,0.330993219041424
"ANTXR1",1,2,1,2,1,0.451603012346455,-1.1468729854753,0
"ANTXR2",3,4,3,3,1,1,0,4.82163733276644e-17
"ANXA1",2,2,2,2,1,1,0,4.82163733276644e-17
"ANXA11",4,4,4,2,0.608391608391609,2.79345993246486,1.48205312738025,0.215816784846443
"ANXA2",6,8,5,6,1,0.576512021188363,-0.794577404221032,4.82163733276644e-17
"ANXA3",1,1,1,1,1,1,0,0
"ANXA4",1,0,1,0,1,Inf,Inf,0
"ANXA5",3,0,2,0,0.466666666666667,Inf,Inf,0.330993219041424
"ANXA6",8,8,5,3,0.619269619269619,2.59867331003631,1.37777527805224,0.208120225508274
"ANXA7",5,5,5,4,1,1.61371647991769,0.690387128214865,0
"AOAH",1,0,1,0,1,Inf,Inf,0
"AOC3",1,2,1,1,1,1,0,0
"AP1B1",1,0,1,0,1,Inf,Inf,0
"AP1G1",1,1,1,1,1,1,0,0
"AP1G2",6,9,3,4,1,0.619687542666112,-0.690387128214864,0
"AP1M1",1,1,1,1,1,1,0,0
"AP2B1",5,2,4,2,0.608391608391609,2.79345993246486,1.48205312738025,0.215816784846443
"AP2M1",8,3,6,3,0.314685314685315,4.47368223454136,2.16146278546891,0.502123523689718
"AP3B1",10,4,4,3,1,1.61371647991769,0.690387128214865,0
"AP3M1",2,0,2,0,0.466666666666667,Inf,Inf,0.330993219041424
"AP3S1",2,0,2,0,0.466666666666667,Inf,Inf,0.330993219041424
"AP3S2;C15orf38-AP3S2",1,0,1,0,1,Inf,Inf,0
"AP4B1",3,0,3,0,0.2,Inf,Inf,0.698970004336019
"AP4M1",2,0,2,0,0.466666666666667,Inf,Inf,0.330993219041424
"AP5M1",4,2,4,2,0.608391608391609,2.79345993246486,1.48205312738025,0.215816784846443
"AP5Z1",1,2,1,2,1,0.451603012346455,-1.1468729854753,0
"APBA3",1,1,1,1,1,1,0,0
"APBB1",3,6,2,3,1,0.576512021188363,-0.794577404221032,4.82163733276644e-17
"APBB1IP",2,2,2,1,1,2.21433421093488,1.1468729854753,0
"APBB2",2,0,2,0,0.466666666666667,Inf,Inf,0.330993219041424
"APC",3,2,3,2,1,1.73456920800836,0.794577404221032,4.82163733276644e-17
"APEH",4,4,4,3,1,1.61371647991769,0.690387128214865,0
"APEX2",1,0,1,0,1,Inf,Inf,0
"APH1A",2,0,2,0,0.466666666666667,Inf,Inf,0.330993219041424
"API5",2,1,2,1,1,2.21433421093488,1.1468729854753,0
"APIP",2,1,2,1,1,2.21433421093488,1.1468729854753,0
"APLNR",1,2,1,1,1,1,0,0
"APLP2",4,0,3,0,0.2,Inf,Inf,0.698970004336019
"APMAP",2,2,2,2,1,1,0,4.82163733276644e-17
"APOBEC3C",1,2,1,2,1,0.451603012346455,-1.1468729854753,0
"APOBEC3F",1,1,1,1,1,1,0,0
"APOBEC3G",1,2,1,2,1,0.451603012346455,-1.1468729854753,0
"APOD",1,1,1,1,1,1,0,0
"APOL2",2,0,2,0,0.466666666666667,Inf,Inf,0.330993219041424
"APOL3",3,0,2,0,0.466666666666667,Inf,Inf,0.330993219041424
"APOPT1",2,0,1,0,1,Inf,Inf,0
"APP",2,1,2,1,1,2.21433421093488,1.1468729854753,0
"APPBP2",3,2,3,2,1,1.73456920800836,0.794577404221032,4.82163733276644e-17
"APPL1",1,0,1,0,1,Inf,Inf,0
"APPL2",2,2,1,2,1,0.451603012346455,-1.1468729854753,0
"APRT",3,2,3,2,1,1.73456920800836,0.794577404221032,4.82163733276644e-17
"AQP1",1,0,1,0,1,Inf,Inf,0
"AQP3",2,3,2,3,1,0.576512021188363,-0.794577404221032,4.82163733276644e-17
"AQR",6,3,5,2,0.314685314685315,4.47368223454136,2.16146278546891,0.502123523689718
"ARAF",1,0,1,0,1,Inf,Inf,0
"ARAP1",2,1,2,1,1,2.21433421093488,1.1468729854753,0
"ARAP2",1,0,1,0,1,Inf,Inf,0
"ARCN1",13,14,7,4,0.282051282051282,6.15667160832438,2.62215061846743,0.549671921868275
"ARF1",7,3,4,3,1,1.61371647991769,0.690387128214865,0
"ARFGAP2",5,2,4,2,0.608391608391609,2.79345993246486,1.48205312738025,0.215816784846443
"ARFGAP3",6,7,3,4,1,0.619687542666112,-0.690387128214864,0
"ARFRP1",1,1,1,1,1,1,0,0
"ARGLU1",4,1,3,1,0.569230769230769,3.83896762023271,1.94071839182677,0.244711632575861
"ARHGAP1",6,6,5,6,1,0.576512021188363,-0.794577404221032,4.82163733276644e-17
"ARHGAP12",3,1,3,1,0.569230769230769,3.83896762023271,1.94071839182677,0.244711632575861
"ARHGAP15",6,1,4,1,0.282051282051282,6.15667160832438,2.62215061846743,0.549671921868275
"ARHGAP17",2,3,2,1,1,2.21433421093488,1.1468729854753,0
"ARHGAP19",1,0,1,0,1,Inf,Inf,0
"ARHGAP21",1,1,1,1,1,1,0,0
"ARHGAP25",4,2,4,1,0.282051282051282,6.15667160832438,2.62215061846743,0.549671921868275
"ARHGAP26",1,0,1,0,1,Inf,Inf,0
"ARHGAP27",1,4,1,3,0.569230769230769,0.260463552878358,-1.94084658710691,0.244711632575861
"ARHGAP29",5,0,2,0,0.466666666666667,Inf,Inf,0.330993219041424
"ARHGAP30",11,4,6,3,0.314685314685315,4.47368223454136,2.16146278546891,0.502123523689718
"ARHGAP32",1,0,1,0,1,Inf,Inf,0
"ARHGAP33",3,0,1,0,1,Inf,Inf,0
"ARHGAP4",6,4,3,4,1,0.619687542666112,-0.690387128214864,0
"ARHGAP45",13,15,5,6,1,0.576512021188363,-0.794577404221032,4.82163733276644e-17
"ARHGAP45;ARHGAP45",1,0,1,0,1,Inf,Inf,0
"ARHGAP5",4,1,4,1,0.282051282051282,6.15667160832438,2.62215061846743,0.549671921868275
"ARHGAP9",2,6,2,4,0.608391608391609,0.357979002447202,-1.48205312738025,0.215816784846443
"ARHGDIA",1,2,1,2,1,0.451603012346455,-1.1468729854753,0
"ARHGDIB",6,6,5,4,1,1.61371647991769,0.690387128214865,0
"ARHGEF1",5,9,3,5,0.619269619269619,0.384811740720894,-1.37777527805225,0.208120225508274
"ARHGEF12",1,0,1,0,1,Inf,Inf,0
"ARHGEF17",1,1,1,1,1,1,0,0
"ARHGEF18",2,4,2,4,0.608391608391609,0.357979002447202,-1.48205312738025,0.215816784846443
"ARHGEF28",1,0,1,0,1,Inf,Inf,0
"ARHGEF3",2,2,2,2,1,1,0,4.82163733276644e-17
"ARHGEF40",4,0,2,0,0.466666666666667,Inf,Inf,0.330993219041424
