"Gene","HRGeneName","NumCells.ms","NumCells.hc","NumDonors.ms","NumDonors.hc","p","or_est","log2or","negLog10p"
"ENSG00000250733","C8orf17",1,1,1,1,1,1.34596893389605,0.428645111708016,0
"ENSG00000250746","RP11",3,9,3,6,0.254289374340053,0.445876013336375,-1.16528550539807,0.594671786744833
"ENSG00000250751","RP11",4,6,2,4,1,0.89643298799216,-0.157732355078523,0
"ENSG00000250752","GS1",1,0,1,0,0.426315789473684,Inf,Inf,0.370268582074179
"ENSG00000250764","CTD",2,11,2,5,0.0512659662241386,0.242203209242939,-2.04571011371888,1.29017085294221
"ENSG00000250771","RP11",2,1,2,1,0.578682861420733,2.69535536439055,1.43047549510973,0.237559379742247
"ENSG00000250788","TUBB8P4",1,0,1,0,0.426315789473684,Inf,Inf,0.370268582074179
"ENSG00000250794","ALG1L12P",1,1,1,1,1,1.34596893389605,0.428645111708016,0
"ENSG00000250796","RP11",1,0,1,0,0.426315789473684,Inf,Inf,0.370268582074179
"ENSG00000250820","RP11",2,6,2,4,0.478562875074489,0.446856655516944,-1.1621159828093,0.320060995182795
"ENSG00000250826","HNRNPA3P13",1,3,1,2,0.640594573570663,0.447833842315552,-1.15896453968484,0.193416744533107
"ENSG00000250835","LSM3P4",1,7,1,3,0.148412047204326,0.190991914316885,-2.38841653213342,0.828530844191744
"ENSG00000250848","CTD",5,18,4,6,0.0538856367143464,0.368477082156739,-1.44035320280449,1.26852698113955
"ENSG00000250852","AC131180",104,131,6,8,0.611024237115229,1.08360622954521,0.115840592587727,0.213941562528913
"ENSG00000250853","RNF138P1",2,3,2,3,1,0.896800059019217,-0.157141721798964,0
"ENSG00000250859","HNRNPKP1",108,204,6,8,0.00106634599735232,0.644966533757318,-0.632703791459933,2.97210185688541
"ENSG00000250867","RP11",1,1,1,1,1,1.34596893389605,0.428645111708016,0
"ENSG00000250869","RP11",3,3,2,3,0.704223622713123,1.34719547232598,0.429959194894745,0.152289410901895
"ENSG00000250889","RP11",6,24,2,8,0.0139421819555606,0.329567847836458,-1.60135259274695,1.85566925370536
"ENSG00000250895","CTD",1,0,1,0,0.426315789473684,Inf,Inf,0.370268582074179
"ENSG00000250896","RNPS1P1",24,26,6,8,0.467699668822536,1.25264445061136,0.324976979599584,0.330032937614686
"ENSG00000250899","RP11",2,1,2,1,0.578682861420733,2.69535536439055,1.43047549510973,0.237559379742247
"ENSG00000250903","GMDS",23,62,6,8,0.00301410960422113,0.478286489047018,-1.06405305719094,2.52084095917369
"ENSG00000250909","RP11",4,4,3,4,0.729664769249684,1.34781200874662,0.430619285123319,0.136876622487679
"ENSG00000250910","AC097467",3,3,3,3,0.704223622713123,1.34719547232598,0.429959194894745,0.152289410901895
"ENSG00000250914","RP11",1,0,1,0,0.426315789473684,Inf,Inf,0.370268582074179
"ENSG00000250918","RP11",2,5,2,5,0.705489533693455,0.536873871431815,-0.89734490133742,0.151509424847827
"ENSG00000250948","RP11",2,2,1,2,1,1.34658111789768,0.429301140247126,0
"ENSG00000250950","RP11",2,5,1,3,0.705489533693455,0.536873871431815,-0.89734490133742,0.151509424847827
"ENSG00000250959","GLUD1P3",9,19,5,7,0.334750186382221,0.631788310927682,-0.662486849671312,0.475279172509389
"ENSG00000250966","RP11",8,13,6,7,0.824870503007439,0.825767581410439,-0.276192313641919,0.083614226290834
"ENSG00000250980","RP11",4,6,2,3,1,0.89643298799216,-0.157732355078523,0
"ENSG00000250982","RP11",14,21,4,8,0.862965475777404,0.894618740597138,-0.160655114453006,0.0640065785365678
"ENSG00000250983","RP11",1,1,1,1,1,1.34596893389605,0.428645111708016,0
"ENSG00000250988","RP11",8,22,4,7,0.092252455922491,0.48227800215782,-1.05206308802536,1.03502206333271
"ENSG00000250989","RP11",1,1,1,1,1,1.34596893389605,0.428645111708016,0
