"p_val","avg_logFC","pct.1","pct.2","p_val_adj","Feature","NegLogP"
0.12175732401686,-0.333637102164581,0.185,0.14,1,"ENSG00000125772-GPCPD1",0.914504905395136
0.122874834968185,-0.250626452264468,0.279,0.226,1,"ENSG00000123240-OPTN",0.910537052455473
0.12657177640217,-0.430852240654028,0.574,0.553,1,"ENSG00000153179-RASSF3",0.89766312464487
0.127019399910877,0.327311688620787,0.208,0.17,1,"ENSG00000024048-UBR2",0.896129943368401
0.127370723077212,-0.2858671168935,0.213,0.167,1,"ENSG00000002822-MAD1L1",0.894930385714869
0.130004282620205,-0.277113741713275,0.162,0.197,1,"ENSG00000100387-RBX1",0.886042340864795
0.130726111687069,0.342404798845908,0.152,0.118,1,"ENSG00000165732-DDX21",0.88363765626819
0.135916643005724,0.411079672668615,0.15,0.123,1,"ENSG00000147050-KDM6A",0.866727360611159
0.137146866170809,-0.273332640994114,0.079,0.106,1,"ENSG00000154781-CCDC174",0.862814111648766
0.148334433132558,-0.322171098308465,0.083,0.108,1,"ENSG00000125734-GPR108",0.82875802372774
0.150434266003446,-0.253237224649221,0.14,0.106,1,"ENSG00000023318-ERP44",0.822653228629866
0.153278805864288,0.279485142934318,0.202,0.167,1,"ENSG00000107521-HPS1",0.814517891672175
0.157614378384606,0.339544434056866,0.132,0.108,1,"ENSG00000111540-RAB5B",0.802404166489489
0.162080360595345,-0.267428452736028,0.106,0.079,1,"ENSG00000169727-GPS1",0.790269605767148
0.165025251033992,-0.298094150050824,0.159,0.125,1,"ENSG00000109180-OCIAD1",0.782449597933476
0.167115094932739,0.289665542732681,0.122,0.096,1,"ENSG00000135148-TRAFD1",0.776984320005412
0.167488936849463,-0.384255671895911,0.445,0.432,1,"ENSG00000232112-TMA7",0.776013874143007
0.171079881504873,-0.330604928980144,0.144,0.111,1,"ENSG00000174780-SRP72",0.766801059220685
0.171596544614507,0.261819887909255,0.119,0.091,1,"ENSG00000119906-FAM178A",0.765491461650259
0.183334789568017,0.404844714409115,0.126,0.098,1,"ENSG00000139990-DCAF5",0.736755115595369
0.186229409561269,-0.348835326438241,0.417,0.432,1,"ENSG00000170315-UBB",0.729951733657552
0.186757060750605,-0.365250708310599,0.122,0.147,1,"ENSG00000134001-EIF2S1",0.728722969769279
0.188247792607967,-0.399222593598234,0.688,0.673,1,"ENSG00000183283-DAZAP2",0.725270107630846
0.188315710082542,-0.256494396292181,0.223,0.182,1,"ENSG00000134453-RBM17",0.725113447813623
0.196599599557703,-0.363853495930901,0.466,0.413,1,"ENSG00000135655-USP15",0.706417371092169
0.202797573187835,-0.378428702218041,0.131,0.103,1,"ENSG00000177311-ZBTB38",0.692937246367489
0.204653492560557,-0.274703190358596,0.083,0.106,1,"ENSG00000011009-LYPLA2",0.688980839404566
0.205512464971643,-0.333920706429376,0.236,0.273,1,"ENSG00000159377-PSMB4",0.687161831674888
0.20647226519312,-0.275231329447253,0.372,0.405,1,"ENSG00000086062-B4GALT1",0.685138277579193
0.206541152729847,0.328009545643825,0.198,0.17,1,"ENSG00000122218-COPA",0.684993403461056
0.209951145135219,-0.27601683844842,0.283,0.243,1,"ENSG00000106153-CHCHD2",0.677881752249903
0.2199611982911,-0.325989840763497,0.169,0.197,1,"ENSG00000168090-COPS6",0.657653923060922
